Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Buff/B_DummySummon_P_Description,Text,,"HP가 0 이하가 되거나 &a가 전투 불능이 되면 홀로그램이 파괴됩니다.
일부 보스 스킬의 대상이 될 수 없습니다.","Hologram is destroyed when HP is below 0 or &a faints.
Can't be targeted by some boss skills.","ホログラムガードは、HPが0になるか、&aが戦闘不能になると破壊されます。
一部のボススキルのターゲットにはなりません。","全息护卫会在血量归零或&a无法战斗时被摧毁。
无法被一些boss技能选为目标。","全息護衛會在血量歸零或&a無法戰鬥時被摧毀。
無法被一些boss技能選為目標。"
Buff/B_DummySummon_P_Name,Text,,홀로그램 가드,Protection Hologram,ホログラムガード,全息护卫,全息護衛
Buff/B_EquipUnique_SwapChar_Description,Text,,"턴 종료 시, 이번 턴에 받은 피해 횟수에 따라 &a 중첩의 강인함(치유 게이지 보호, 중첩당 +5% 방어력)을 얻습니다.","Receive &a stacks of Tenacity (protect healing gauge, +5% armor per stack) at the end of turn based on num of hits received this turn.",ターン終了時に、このターンに受けたヒット数に基づいて、&aスタックのタフネス（回復ゲージを保護し、スタックごとに+5%の防御力を付与）を受け取ります。,在回合结束时根据本回合被命中次数获得&a层坚韧（保护体力极限，每层+5%防御）。,在回合結束時依本回合被命中次數獲得&a層堅韌（保護體力極限，每層+5%防禦）。
Buff/B_EquipUnique_SwapChar_Name,Text,,수호의 창,Spear of Protection,ガードの槍,护卫之枪,護衛之槍
Buff/B_RelicSixSense_SwapChar_Description,Text,,유닛에 사라지지 않는 '파악됨!'을 적용합니다. 패배 시 '제6감'을 다른 유닛으로 전이합니다.,"Apply nonvanishing ""Identified!"" to the unit. When defeated, transfer ""6th Sense"" to another unit.",ユニットに消えない「洞察」を与えられる。倒されると、「第六感」を別のユニットに移します。,对该单位施加不会消失的“洞察”减益。被击杀时将“第六感”施加给另一单位。,對該單位施加不會消失的「洞察」減益。被擊殺時將「第六感」施加給另一個單位。
Buff/B_RelicSixSense_SwapChar_Name,Text,,제6감,6th Sense,第六感,第六感,第六感
Buff/B_EquipDrone_SwapChar_Description,Text,,"<color=#0096FF>위치 버프</color>
새로운 턴이 시작될 때, 버프를 새로운 위치로 이동할 수 있습니다.","<color=#0096FF>Position Buff</color>
At the start of a new turn, select to move the buff to a new position.","<color=#0096FF>位置バフ</color>
新しいターンの開始時に、バフを新しい位置に移動することを選択します。","<color=#0096FF>位置增益</color>
回合开始时，可选择将该增益移动至另一个位置。","<color=#0096FF>位置增益</color>
回合開始時，可選擇將此增益移動至另一個位置。"
Buff/B_EquipDrone_SwapChar_Name,Text,,드론 지원,Drone Support,ドローンの支援,无人机支援,無人機支援
Buff/B_SwapChar_10_S_Description,Text,,,,,,
Buff/B_SwapChar_10_S_Name,Text,,배리어,Barrier,バリア,保护罩,保護罩
